0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
 
0001,0002,100.02
0001,0003,80.9
0001,0004,
0001,0005,9.0
0002,0001,200.0
0002,0006,24.0
0003,0002,870.0
0004,0006,310.0
0004,0003,90.0
0004,1008,2.0
0004,0005,23.0
0003,0006,200.0
0005,0004,24.0
